Treatment,Replication,initialJ2,finalJ2,Mortality
1,A,55,40,27
1,B,42,32,24
1,C,57,45,21
1,D,53,38,28
2,A,58,57,2
2,B,62,60,3
2,C,59,55,7
2,D,50,47,6
3,A,28,17,39
3,B,31,25,19
3,C,32,16,50
3,D,45,29,36
4,A,41,40,2
4,B,56,52,7
4,C,71,69,3
4,D,55,53,4
5,A,21,20,5
5,B,28,26,7
5,C,36,33,8
5,D,41,40,2
6,A,30,29,3
6,B,42,39,7
6,C,42,39,7
6,D,62,58,7
7,A,31,30,3
7,B,35,33,6
7,C,50,47,6
7,D,42,37,12
8,A,42,41,2
8,B,66,63,5
8,C,62,57,8
8,D,63,59,6
9,A,49,43,12
9,B,58,48,17
9,C,57,51,11
9,D,34,32,6
10,A,45,43,4
10,B,48,48,0
10,C,34,32,6
10,D,38,38,0
11,A,62,55,11
11,B,44,42,5
11,C,75,67,11
11,D,55,50,9
12,A,26,26,0
12,B,59,59,0
12,C,43,41,5
12,D,41,40,2
13,A,58,56,3
13,B,67,65,3
13,C,50,49,2
13,D,54,54,0
14,A,67,60,10
14,B,40,33,18
14,C,35,30,14
14,D,42,29,31
15,A,59,58,2
15,B,69,67,3
15,C,79,75,5
15,D,75,73,3
16,A,71,69,3
16,B,45,43,4
16,C,64,60,6
16,D,72,68,6
17,A,79,75,5
17,B,54,51,6
17,C,55,52,6
17,D,75,71,5
18,A,66,63,5
18,B,65,61,6
18,C,60,56,7
18,D,62,59,5
19,A,65,59,9
19,B,73,66,10
19,C,54,50,7
19,D,51,47,8
20,A,76,68,11
20,B,67,65,3
20,C,48,46,4
20,D,64,59,8
21,A,72,68,6
21,B,63,63,0
21,C,52,49,6
21,D,67,66,2
22,A,31,27,13
22,B,41,38,7
22,C,45,42,7
22,D,28,26,7
23,A,71,65,9
23,B,79,75,5
23,C,76,74,3
23,D,74,72,3
24,A,54,52,4
24,B,63,61,3
24,C,69,65,6
24,D,45,44,2
25,A,55,52,6
25,B,65,63,3
25,C,60,59,2
25,D,71,68,4
26,A,89,85,5
26,B,72,70,3
26,C,75,73,3
26,D,71,70,1
27,A,61,57,7
27,B,69,65,6
27,C,45,42,7
27,D,48,40,17
28,A,50,46,8
28,B,38,33,13
28,C,50,45,10
28,D,45,40,11
29,A,42,39,7
29,B,48,34,29
29,C,42,36,14
29,D,41,35,15
30,A,71,65,9
30,B,56,46,18
30,C,54,48,11
30,D,54,47,13
32,A,49,45,8
32,B,43,36,16
32,C,57,51,11
32,D,55,49,11
